"Family","Year","Rep","Status"
"27.005","2018",3,0
"27.005","2018",3,0
"27.005","2018",3,0
"27.005","2018",3,0
"27.005","2018",3,0
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",3,1
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,0
"27.005","2018",4,1
"27.005","2018",4,1
"27.005","2018",4,1
"27.005","2018",4,1
"27.005","2018",4,1
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,0
"27.009","2018",1,1
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,0
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",2,1
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",3,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,0
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.009","2018",4,1
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,0
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",1,1
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,0
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",2,1
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,0
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",3,1
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,0
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.01","2018",4,1
"27.011","2018",1,0
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",1,1
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,0
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",2,1
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,0
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
